Rank,Team,TEAM,PLAYOFFS,WP2022,Last3,Last1,Home,Away,WP2021
1,Boston,Bos,1,0.787,0.667,0,0.906,0.655,0.667
2,Minnesota,Min,1,0.694,0.333,1,0.742,0.645,0.494
2,Okla City,,0,0.694,0.667,1,0.8,0.594,0.488
4,Denver,Den,1,0.677,0.667,0,0.8,0.563,0.677
5,LA Clippers,Lac,1,0.656,0.667,1,0.724,0.594,0.517
6,Milwaukee,Mil,1,0.651,0.667,0,0.807,0.5,0.678
7,Cleveland,Cle,1,0.645,0.333,0,0.645,0.645,0.598
8,New Orleans,,0,0.597,0.667,1,0.6,0.594,0.506
9,Orlando,,0,0.587,1,1,0.75,0.457,0.415
10,New York,Nyk,1,0.581,0.333,0,0.625,0.533,0.57
10,Phoenix,Pho,1,0.581,0.333,1,0.606,0.552,0.548
12,Sacramento,Sac,1,0.574,0.667,1,0.593,0.559,0.573
12,Miami,Mia,1,0.574,0.667,1,0.567,0.581,0.542
14,Philadelphia,Phi,1,0.565,0.333,0,0.576,0.552,0.656
15,Dallas,,0,0.548,0,0,0.546,0.552,0.463
16,Indiana,,0,0.547,0.333,1,0.625,0.469,0.427
17,Golden State,Gol,1,0.541,0.667,1,0.531,0.552,0.526
18,LA Lakers,Lal,1,0.539,0.333,0,0.656,0.424,0.525
19,Chicago,,0,0.484,0.667,1,0.516,0.452,0.488
20,Atlanta,Atl,1,0.452,0.667,1,0.5,0.4,0.494
21,Utah,,0,0.444,0.333,0,0.613,0.281,0.451
22,Houston,,0,0.436,0.667,0,0.656,0.2,0.268
23,Brooklyn,Bro,1,0.403,0.667,1,0.471,0.321,0.523
24,Toronto,,0,0.371,0.333,0,0.406,0.333,0.494
25,Memphis,Mem,1,0.349,0.667,1,0.226,0.469,0.602
26,Portland,,0,0.279,0.333,0,0.3,0.258,0.402
27,Charlotte,,0,0.242,0,0,0.258,0.226,0.329
28,San Antonio,,0,0.21,0.667,0,0.25,0.177,0.268
29,Detroit,,0,0.148,0,0,0.138,0.156,0.207
30,Washington,,0,0.145,0,0,0.103,0.182,0.427
